date,labor_force,employment,unemployment,unemployment_rate
1-Jan-04,85546,82320,3226,3.8
1-Feb-04,88038,84867,3171,3.6
1-Mar-04,88544,85317,3227,3.6
1-Apr-04,88308,85381,2927,3.3
1-May-04,88745,85551,3194,3.6
1-Jun-04,88960,84772,4188,4.7
1-Jul-04,88511,84555,3956,4.5
1-Aug-04,87453,83827,3626,4.1
1-Sep-04,88370,84880,3490,3.9
1-Oct-04,89254,85944,3310,3.7
1-Nov-04,89614,86296,3318,3.7
1-Dec-04,87217,84042,3175,3.6
1-Jan-05,88170,84445,3725,4.2
1-Feb-05,90527,86814,3713,4.1
1-Mar-05,90906,87282,3624,4
1-Apr-05,91400,88269,3131,3.4
1-May-05,90929,87642,3287,3.6
1-Jun-05,91266,87390,3876,4.2
1-Jul-05,91190,87690,3500,3.8
1-Aug-05,89919,87077,2842,3.2
1-Sep-05,91637,88708,2929,3.2
1-Oct-05,93140,90176,2964,3.2
1-Nov-05,93519,90371,3148,3.4
1-Dec-05,91921,89190,2731,3
1-Jan-06,88916,85909,3007,3.4
1-Feb-06,91886,88477,3409,3.7
1-Mar-06,92622,89495,3127,3.4
1-Apr-06,92504,89901,2603,2.8
1-May-06,92521,89719,2802,3
1-Jun-06,91235,87676,3559,3.9
1-Jul-06,91957,88533,3424,3.7
1-Aug-06,91046,87878,3168,3.5
1-Sep-06,92686,89692,2994,3.2
1-Oct-06,94445,91359,3086,3.3
1-Nov-06,94415,91359,3056,3.2
1-Dec-06,93561,90767,2794,3
1-Jan-07,90747,87472,3275,3.6
1-Feb-07,93577,89747,3830,4.1
1-Mar-07,93928,90622,3306,3.5
1-Apr-07,93493,90718,2775,3
1-May-07,93450,90295,3155,3.4
1-Jun-07,92120,88261,3859,4.2
1-Jul-07,92974,89203,3771,4.1
1-Aug-07,91178,87550,3628,4
1-Sep-07,93309,89669,3640,3.9
1-Oct-07,94454,90987,3467,3.7
1-Nov-07,94147,90797,3350,3.6
1-Dec-07,92523,89108,3415,3.7
1-Jan-08,90013,86161,3852,4.3
1-Feb-08,92459,88559,3900,4.2
1-Mar-08,93698,89774,3924,4.2
1-Apr-08,93634,90559,3075,3.3
1-May-08,93413,89661,3752,4
1-Jun-08,92137,87789,4348,4.7
1-Jul-08,92660,88007,4653,5
1-Aug-08,90789,86403,4386,4.8
1-Sep-08,92759,88604,4155,4.5
1-Oct-08,94058,90153,3905,4.2
1-Nov-08,93639,89656,3983,4.3
1-Dec-08,92947,88731,4216,4.5
1-Jan-09,92555,86363,6192,6.7
1-Feb-09,93656,87302,6354,6.8
1-Mar-09,93892,87564,6328,6.7
1-Apr-09,94386,89191,5195,5.5
1-May-09,94601,88770,5831,6.2
1-Jun-09,93376,86459,6917,7.4
1-Jul-09,93078,86327,6751,7.3
1-Aug-09,91221,84655,6566,7.2
1-Sep-09,93248,87196,6052,6.5
1-Oct-09,94768,88933,5835,6.2
1-Nov-09,94991,89285,5706,6
1-Dec-09,93623,88013,5610,6
1-Jan-10,93125,86758,6367,6.8
1-Feb-10,94968,88545,6423,6.8
1-Mar-10,96301,89773,6528,6.8
1-Apr-10,95001,89707,5294,5.6
1-May-10,95074,89443,5631,5.9
1-Jun-10,93652,87193,6459,6.9
1-Jul-10,94001,87273,6728,7.2
1-Aug-10,92515,86051,6464,7
1-Sep-10,94326,88426,5900,6.3
1-Oct-10,95465,89771,5694,6
1-Nov-10,95695,89902,5793,6.1
1-Dec-10,94827,88977,5850,6.2
1-Jan-11,92300,85973,6327,6.9
1-Feb-11,94727,88523,6204,6.5
1-Mar-11,95807,89845,5962,6.2
1-Apr-11,95283,89996,5287,5.5
1-May-11,96740,91109,5631,5.8
1-Jun-11,94983,88692,6291,6.6
1-Jul-11,95115,88961,6154,6.5
1-Aug-11,93861,87669,6192,6.6
1-Sep-11,96422,91059,5363,5.6
1-Oct-11,98261,93063,5198,5.3
1-Nov-11,98025,93301,4724,4.8
1-Dec-11,97442,92769,4673,4.8
1-Jan-12,94801,90064,4737,5
1-Feb-12,97729,92543,5186,5.3
1-Mar-12,98039,93071,4968,5.1
1-Apr-12,98577,94263,4314,4.4
1-May-12,99230,94696,4534,4.6
1-Jun-12,96500,91674,4826,5
1-Jul-12,97132,91700,5432,5.6
1-Aug-12,95022,90230,4792,5
1-Sep-12,97852,93680,4172,4.3
1-Oct-12,98828,94352,4476,4.5
1-Nov-12,98357,94103,4254,4.3
1-Dec-12,97608,93421,4187,4.3
1-Jan-13,95461,90493,4968,5.2
1-Feb-13,97107,92355,4752,4.9
1-Mar-13,97518,92841,4677,4.8
1-Apr-13,98572,94351,4221,4.3
1-May-13,99125,94570,4555,4.6
1-Jun-13,98067,92980,5087,5.2
1-Jul-13,99227,94016,5211,5.3
1-Aug-13,98766,94054,4712,4.8
1-Sep-13,100382,96375,4007,4
1-Oct-13,101140,97083,4057,4
1-Nov-13,101734,97875,3859,3.8
1-Dec-13,100760,97050,3710,3.7
1-Jan-14,97976,93525,4451,4.5
1-Feb-14,99681,94509,5172,5.2
1-Mar-14,100317,95323,4994,5
1-Apr-14,99823,95879,3944,4
1-May-14,100228,96001,4227,4.2
1-Jun-14,98727,93753,4974,5
1-Jul-14,98444,93637,4807,4.9
1-Aug-14,97998,93741,4257,4.3
1-Sep-14,100769,96597,4172,4.1
1-Oct-14,101731,98545,3186,3.1
1-Nov-14,102473,98916,3557,3.5
1-Dec-14,102388,98963,3425,3.3