Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2004,85546,88038,88544,88308,88745,88960,88511,87453,88370,89254,89614,87217,88214
2005,88170,90527,90906,91400,90929,91266,91190,89919,91637,93140,93519,91921,91210
2006,88916,91886,92622,92504,92521,91235,91957,91046,92686,94445,94415,93561,92316
2007,90747,93577,93928,93493,93450,92120,92974,91178,93309,94454,94147,92523,92992
2008,90013,92459,93698,93634,93413,92137,92660,90789,92759,94058,93639,92947,92683
2009,92555,93656,93892,94386,94601,93376,93078,91221,93248,94768,94991,93623,93616
2010,93125,94968,96301,95001,95074,93652,94001,92515,94326,95465,95695,94827,94579
2011,92300,94727,95807,95283,96740,94983,95115,93861,96422,98261,98025,97442,95747
2012,94801,97729,98039,98577,99230,96500,97132,95022,97852,98828,98357,97608,97473
2013,95461,97107,97518,98572,99125,98067,99227,98766,100382,101140,101734,100760,98989
2014,97976,99681,100317,99823,100228,98727,98444,97998,100769,101731,102473,102388,